Value,Value Counts
3.6,3
"4,015,000",3
"430,000",3
"6,900",3
"1,665,000",3
45.6,3
32.5,3
"8,400,000",3
340,3
"3,400",3
"2,120",3
"14,767",3
55.7,3
"2,570,000",3
"3,650,000",3
"5,500",3
335,3
2.3,3
1.15,3
180,3
124,3
35.1,3
"10,024",3
1.45,3
"1,765,000",3
117,3
"1,220,000",3
4.5,3
"5,800",3
"304,000",3
"440,000",3
"21,800",3
"2,480,000",3
"8,900",3
4.8,3
1.05,3
"1,480,000",3
"1,549,000",3
"2,360,000",3
"51,200",3
"99,000",3
"4,550,000",3
"2,032,000",3
"746,000",3
"1,645,000",3
"292,000",3
"2,665,000",3
"590,000",3
928,3
"4,100",3
23.3,3
"93,000",3
"187,000",3
791,3
47.7,3
17.3,3
"1,495,000",3
"4,900,000",3
"2,210",3
"920,000",3
"3,150,000",3
"1,197,000",3
"8,600,000",3
"806,000",3
"1,820,000",3
"2,340,000",3
29.9,3
34.1,3
"1,940,000",3
"5,850,000",3
"11,900",3
16.4,3
"4,025,000",3
"760,000",3
"2,170,000",3
"665,000",3
"1,106",3
133,3
967,3
"86,200",3
"1,276,000",3
140,3
"2,458,000",3
"1,820",3
"1,382,000",3
"2,268,000",3
"533,000",3
"470,000",3
"98,600,000",3
20.6,3
"3,611",2
"263,766",2
447,2
"4,125,000",2
"759,000",2
"2,023,000",2
"4,009,000",2
3.55,2
"2,399,700",2
"7,343",2
"53,820,000",2
"23,200",2
430,2
"2,053,000",2
"190,023",2
"2,472,000",2
"3,337,000",2
"2,862,500",2
"1,845,000",2
"454,000",2
"51,000",2
"6,131",2
"12,999,910",2
"666,000",2
"65,155",2
"1,369,000",2
"22,200",2
"3,265,000",2
243,2
"2,025,000",2
"1,736,000",2
"2,553,900",2
526,2
"1,856,600",2
"2,970",2
"635,000",2
"1,709,000",2
"1,592",2
"1,325",2
5.8,2
"84,300",2
5.5,2
"163,163,000",2
"8,540",2
"818,400,000",2
"2,015,000",2
18.9,2
"24,700",2
"95,377,500",2
957,2
"3,230",2
"23,786",2
"126,763,000",2
"1,119",2
"1,470",2
"1,248,000",2
"9,595",2
"1,974,000",2
"252,000",2
"230,630,000",2
626,2
"3,509,500",2
48.1,2
"75,287",2
"5,037",2
"82,800,000",2
"8,550,000",2
195,2
27.7,2
"2,029,000",2
4.9,2
"2,311,400",2
217,2
"83,475,000",2
"1,482,000",2
739,2
"50,160,000",2
"94,400,000",2
"2,103,050",2
151,2
"14,931",2
"12,689,420",2
460,2
"77,800",2
"255,350",2
"20,700",2
"1,970",2
"83,925,000",2
"1,456,000",2
"69,101,000",2
"2,495,000",2
"62,800",2
"2,530,800",2
"45,049,920",2
"975,000",2
3.8,2
"343,972",2
"8,611,000",2
"12,700",2
"413,706,000",2
25.7,2
"3,132,500",2
"5,966",2
"727,000",2
"1,611,000",2
"27,833,140",2
"5,440,000",2
37.8,2
561,2
"1,187",2
"6,100,000",2
"836,000",2
"51,773",2
202,2
"406,000",2
"766,000",2
"74,777,700",2
"1,509,000",2
"47,300",2
"336,658",2
"395,000",2
"224,960,000",2
"2,880,000",2
"19,110,000",2
"83,720,000",2
"2,007,000",2
"8,217,000",2
"1,563",2
"3,572,000",2
43.6,2
"5,400",2
55.5,2
433,2
"179,520,000",2
"64,732",2
"48,762,000",2
"86,523,000",2
"191,000",2
"48,500",2
"16,820,000",2
