Value,Value Counts
582,2
"4,550,000",2
"349,000",2
"3,911,000",2
"22,374",2
"508,000",2
"40,677",2
"48,000",2
25.5,2
"7,043",2
"2,431",2
"4,961,000",2
"1,005",2
158,2
"5,047",2
"9,248,000",2
"4,625,000",2
"9,781",2
"10,600,000",2
"2,334",2
"34,687",2
"1,085,000",2
"8,630,000",2
"4,758,000",2
"4,700,000",2
"5,130,000",2
"2,460,000",2
"513,000",2
"2,417,000",2
"4,870",2
"8,500,000",2
"2,350,000",2
"1,848",2
"57,688",2
254,2
372,2
251,2
"1,759,000",2
"3,218",2
"9,900,000",2
"8,860",2
821,2
"3,000,000",2
"1,427",2
"109,564",2
"824,000",2
129,2
"924,000",2
3.5,2
"115,000",2
"332,000",2
300,2
"65,000",2
"3,583",2
"2,088,000",2
"62,000",2
"3,290,000",2
"2,325,000",2
"16,047",2
555,2
"3,275,000",2
330,2
3.33,2
"1,950,000",2
"8,400,000",2
0.5,2
616,2
"81,191",2
"4,033,000",2
496,2
393,2
"225,000",2
"3,296",2
"6,230,000",2
"1,698",2
1.8,2
295,2
271,2
"704,000",2
3.1,2
"42,000",2
"6,600,000",2
"1,676",2
"6,478",2
224,2
"2,600",2
"11,736,000",2
"18,720",2
"496,000",2
"2,340,000",2
137,2
"3,548",2
"4,166",2
462,2
"463,000",2
"3,872,000",2
"1,104",2
"1,768",2
"70,722",2
193,2
"6,450,000",2
253,2
1.55,2
"574,000",2
377,2
"2,500,000",2
33.5,2
"17,195",2
599,2
3.65,2
"15,454",2
191,2
"6,843",2
534,2
"1,900",2
"967,000",2
"1,188,000",2
"920,000",2
412,2
"544,000",2
2.65,2
310,2
"1,299",2
"430,000",2
"12,502,000",2
"1,882,000",2
"11,000,000",2
"1,460,000",2
"4,077",2
"166,883",2
"54,599",2
"15,950",2
"3,620",2
50.5,2
"13,460,000",2
338,2
609,2
"289,000",2
192,2
"700,000",2
"51,000",2
"6,580",2
"846,000",2
"10,225",2
"1,474,000",2
"2,464",2
"306,000",2
"1,333,000",2
2.25,2
"1,412",2
"5,376,000",2
261,2
"1,425,000",2
493,2
"240,000",2
"960,000",2
"1,643,000",2
"72,000",2
"1,308,000",2
"25,650",2
"1,238,000",2
"1,675,000",2
"1,134,000",2
"4,255,000",2
"2,115,000",2
"1,565",2
"105,000",2
"45,807",2
"1,480",2
163,2
"3,173,000",2
902,2
"1,725,000",2
"527,890",2
304,2
"9,100,000",2
364,2
"6,847",2
"4,800,000",2
"1,478,000",2
"7,056,000",2
357,2
"4,080,000",2
"114,877",2
229,2
"12,000,000",2
"420,000",2
"13,750,000",2
231,2
"2,790",2
2.08,2
186,2
"27,290",2
"9,435",1
"85,000",1
"272,529",1
1.87,1
"105,670",1
"3,260",1
"10,467,000",1
"1,111",1
"10,733",1
"53,984,000",1
"4,050",1
"1,212",1
"44,577",1
"30,237",1
"6,654,000",1
"1,552",1
"83,498",1
"60,303",1
"24,255,000",1
"3,008,173",1
504,1
"3,956",1
"124,189",1
"126,000,000",1
"207,256",1
"10,343,585,000",1
"120,655",1
"1,570,000",1
"812,191,000",1
"1,030,226",1
"1,244",1
"36,602,205",1
"1,570,509",1
"3,141",1
"246,915",1
"17,400",1
"487,380,897",1
"745,129,000",1
"970,000",1
"700,029",1
"520,055,657",1
"1,070,037",1
3.39,1
"10,276,445",1
"232,083",1
"366,148",1
"3,985",1
"5,665,000",1
"3,006,222",1
"5,640,000",1
"221,000",1
"59,805",1
"1,631,282,000",1
"613,212",1
"206,689",1
"260,100,000",1
"15,479,310,000",1
"20,966",1
"3,077",1
"214,707",1
"12,110",1
"49,529",1
"203,567",1
"3,492,000",1
"158,580,000",1
"27,727",1
"753,188,000",1
774,1
"534,039,000",1
"9,445",1
"16,647",1
"383,339",1
"11,029",1
"429,033",1
"360,663,000",1
"415,800,000",1
67.2,1
46.1,1
"1,086",1
"3,380",1
"3,910,000",1
"5,202",1
"2,851",1
"63,425,000",1
"254,419",1
"121,935",1
"1,606,000",1
"10,829",1
"1,131,818",1
"240,381",1
"24,560,000",1
"20,390,950",1
"24,940",1
"1,109,305",1
72.7,1
"10,252,000",1
"420,963",1
577,1
"8,800,000",1
"77,154",1
"8,738",1
"617,041",1
"56,313",1
"7,143,872,000",1
"359,480,000",1
"298,388",1
"159,926,000",1
"65,540",1
"321,478",1
"13,350,000",1
"3,356,129,000",1
"24,680,383",1
"959,000",1
848,1
"702,000",1
734,1
"3,718,047",1
"4,254,000",1
"1,049",1
"510,050,000",1
"235,899",1
"2,148,000",1
"4,070,000",1
"241,633",1
"10,750,000",1
"9,549,000",1
"1,119,000",1
"10,800,000",1
"16,386",1
"20,890",1
"2,392",1
"50,959",1
517,1
"15,318",1
"11,829",1
"507,000,000",1
"7,920,000",1
"1,326,000",1
"263,500",1
474,1
"27,368,000",1
"20,609,975",1
"4,498",1
"814,506,000",1
"194,540",1
"21,111",1
755,1
"326,000",1
"1,061,102",1
"4,766",1
"5,565,000",1
"24,648,000",1
"1,026,000",1
"11,971,209",1
490,1
"3,127,000",1
"1,962,803",1
"1,443,191",1
"2,270,000",1
"57,105",1
"65,303",1
"123,000",1
"2,498",1
63.5,1
"1,071",1
"60,357,000",1
"1,009",1
"6,673,000",1
425,1
"35,903",1
"482,775,000",1
48.5,1
449,1
"4,657",1
"22,939",1
"57,217",1
"4,025",1
"15,673",1
240,1
"473,759",1
"59,358",1
"23,496",1
"324,000,000",1
"4,187,000",1
"1,173,000",1
"420,750,000",1
"6,093",1
"4,392,930",1
"14,227",1
"66,094",1
"24,400",1
"5,561,000",1
"609,917",1
"3,325",1
"7,595",1
"2,573,240",1
"1,120,678",1
"470,400,000",1
"7,430,717,000",1
"881,961",1
"8,352",1
"18,663",1
"23,775",1
812,1
"675,390",1
"9,670,000",1
"233,284",1
"31,211",1
"262,255",1
"1,727,811",1
167,1
"84,966",1
"59,574",1
"3,709,000",1
"7,700,000",1
"11,228",1
"4,805,000",1
"4,836",1
"4,427,871,000",1
"360,781",1
"9,717",1
"3,820,045",1
"25,900",1
762,1
"7,423,000",1
"2,646,719",1
"38,598",1
"9,823",1
"1,203,000",1
"73,355,000",1
"387,504,000",1
"22,387",1
"1,991,000",1
"2,038,000",1
"12,920,000",1
"981,269",1
"9,827",1
"9,765,000",1
"12,633",1
"38,015",1
"24,950",1
"13,143",1
"43,694",1
"437,505,376",1
"15,567",1
"3,024,104,000",1
"85,346",1
"482,054",1
681,1
"68,932,000",1
"59,691",1
"2,817,000",1
33.9,1
"5,184,000",1
"10,171",1
"66,681",1
"432,285,000",1
"2,928,000",1
406,1
"15,525",1
"3,672,680",1
"2,320,812,000",1
"1,781,761",1
"2,079",1
"159,014",1
"269,090",1
"520,017",1
"677,261",1
"74,958",1
"93,638,000",1
"44,115",1
"1,100,000",1
294,1
"281,819",1
"7,850,000",1
"3,249",1
"26,141",1
"4,277",1
"18,317",1
"1,103",1
"210,331",1
"42,668",1
"15,809,000",1
"92,448",1
"84,301,000",1
"82,461",1
"345,898",1
"817,649",1
"880,000",1
483,1
157.7,1
352,1
"7,342,000",1
24.8,1
3.45,1
"10,069",1
"2,368,859,000",1
"2,396,864",1
852,1
"2,757",1
"3,695",1
"51,871",1
"25,125",1
46.5,1
"13,908,329",1
"16,167",1
"2,276",1
"1,885,901",1
"52,390",1
"772,541,000",1
"14,649",1
"3,536,000",1
"780,000",1
"62,000,000",1
"38,902",1
"1,067,351",1
"214,000",1
"78,284,328",1
"2,793,754",1
"22,345,798",1
"42,597",1
"5,700,000",1
"5,185",1
"50,867",1
"415,000",1
"2,929",1
"1,890,334,000",1
"8,856",1
"5,586,000",1
"2,267,534",1
"2,348",1
"5,837,529,000",1
"26,450",1
"28,400",1
"7,761",1
"9,527",1
"25,223,436",1
"9,371",1
"296,311",1
"99,156",1
"510,000",1
"7,769,000",1
"4,200",1
"38,555,076",1
"175,200",1
"249,066",1
"10,273,000",1
"2,445,000",1
"30,620",1
"9,600",1
"5,748,993,000",1
"188,382",1
"18,038",1
"58,929",1
958,1
"4,138,151",1
"432,836,000",1
"127,000",1
"5,136",1
"83,873",1
3.44,1
"1,139,989",1
"1,545,403,000",1
"71,739",1
"295,015",1
692,1
"449,655,000",1
"5,022",1
"76,160",1
"205,301",1
6.7,1
"139,479",1
"1,394,500",1
"13,728,240,000",1
"2,546,000",1
"1,783,000",1
"177,952,000",1
"5,500,000",1
"1,432",1
"287,000",1
"231,109",1
"332,447",1
"6,071,272,000",1
"23,968",1
3.58,1
"3,060,288,000",1
"6,617",1
"910,479",1
"4,583",1
"242,568",1
"48,752",1
"64,499",1
"5,258",1
"4,449,120,000",1
"5,427,000",1
"2,292,163,101",1
"384,156",1
339,1
"1,206,960,000",1
"3,017,000",1
"1,430",1
"124,000",1
"102,032,000",1
"139,312",1
"11,800,000",1
"2,885",1
"1,623",1
"17,951",1
"8,499,000",1
"33,176",1
239,1
"492,254",1
"4,828",1
"31,270",1
"7,466",1
"25,020,000",1
"160,795",1
"11,155,000",1
"6,050,000",1
"678,270,000",1
"18,754",1
"7,570,534",1
"246,186",1
"7,080,000",1
"7,793",1
"160,307",1
"5,645,000",1
"5,827",1
"10,340",1
"46,977",1
"36,635",1
"71,402",1
"3,966",1
"142,512",1
"3,482,745",1
"101,000",1
"7,605",1
"302,867",1
"16,790,000",1
"55,294",1
"430,739,578",1
"6,909",1
"478,400,000",1
"5,705,000",1
"4,356,000",1
"568,947",1
"25,800",1
"22,541",1
"302,212",1
"1,061,290",1
"3,054,729",1
"2,279",1
"2,687,000",1
"4,792,462",1
"9,741,862",1
404,1
"26,505",1
"3,206,718,000",1
"184,176,358",1
"9,760",1
"242,728",1
645,1
"38,993",1
"2,751,000",1
"736,000",1
"156,136",1
"1,077",1
"9,201",1
"490,982,000",1
"193,584",1
"8,101",1
"16,616",1
"29,075",1
"8,612,810",1
"12,669",1
"41,303",1
"8,940",1
"5,779",1
"11,867",1
"293,760,000",1
"8,730",1
"202,078",1
"2,864,036",1
"628,660",1
"65,839",1
"4,096",1
"2,376,900,000",1
"27,350",1
"178,264",1
695,1
"11,490",1
"718,456",1
"2,185,000",1
"4,267,000",1
2.66,1
"320,272",1
"4,945",1
"298,686",1
"5,709,000",1
188,1
"39,575",1
"24,325,000",1
"5,611,019",1
"2,443,000",1
"56,042,988",1
"57,254",1
"2,578",1
"37,092",1
"737,000",1
"2,356,859",1
"1,988",1
"212,137",1
"1,494",1
"62,567",1
"1,720,000",1
"5,175",1
"108,062,877",1
"2,574,000",1
"27,907,000",1
"23,982,000",1
"63,631",1
"6,532",1
"10,028,570,000",1
"25,414",1
"66,571",1
"33,254",1
"4,288,750",1
"1,019,040",1
"153,553",1
"1,581,093,092",1
"387,000",1
"3,308,558",1
"194,805",1
"10,938,000",1
316,1
"16,438",1
"891,587",1
"41,160,000",1
"286,602",1
"2,170,000",1
"517,691",1
"32,092,000",1
"113,453",1
"15,796",1
"55,967",1
"179,082",1
"72,443,000",1
"11,930,542",1
"1,644",1
"3,812",1
4.04,1
"7,133,000",1
"12,226",1
"779,838",1
"17,857",1
"3,052",1
"2,324,000",1
387,1
"367,692",1
11.4,1
"331,685,000",1
"26,950",1
"1,237",1
"1,004",1
282,1
"1,841,000",1
"64,432",1
"885,181",1
"127,038,865",1
"210,671",1
"2,935,000",1
"20,200",1
"35,853",1
49.6,1
"1,616",1
"787,163",1
"1,412,000",1
"56,956",1
"9,472,000",1
"22,668",1
"10,196,901,000",1
"42,430",1
"658,302,841",1
495,1
"33,166",1
"5,301",1
"24,650",1
"40,140,792",1
"13,623",1
"72,307",1
"4,956,539",1
"499,200,000",1
"10,350,000",1
"22,040",1
"945,198",1
"379,206",1
"2,064",1
808,1
"2,741,796,000",1
"57,864",1
"3,323",1
"22,269,847",1
"408,153",1
"840,405",1
"55,686",1
"163,386",1
"48,980",1
"1,402,672",1
54.5,1
"1,709,000",1
"97,000",1
"14,111",1
"176,666",1
"81,000",1
335,1
"24,596",1
"342,875,000",1
"11,716",1
"6,291,000",1
"82,681",1
"24,508",1
"31,543",1
"29,078",1
2.81,1
"18,003",1
"66,750",1
537,1
"70,038",1
"2,465,000",1
"1,851,276,224",1
"5,150",1
"5,362,000",1
"66,703",1
"2,980,000",1
"1,758,000",1
"14,932",1
"231,932",1
"1,092,000",1
"2,569,654",1
"14,193",1
"8,749,000",1
"24,200",1
"1,754",1
"4,868",1
371,1
"24,234",1
"395,153",1
"13,271,536",1
"104,948,000",1
"982,934",1
"451,025",1
"1,075,000",1
"8,766,794",1
"1,117,800,000",1
"2,244,400,000",1
"312,054",1
"60,709",1
"4,967",1
"5,055",1
"2,715,000",1
"819,000",1
1.7,1
"3,027",1
"6,864,000",1
"23,072,000",1
"24,949",1
"126,100,000",1
"24,467,000",1
"118,695",1
"374,000",1
"2,724",1
"11,406",1
610,1
"2,381",1
50.7,1
"6,182,464",1
776,1
"7,100,000",1
"255,368",1
"530,000",1
"13,868",1
"1,532",1
143.4,1
510,1
"197,814",1
"2,368,000",1
"14,472",1
"1,130,000",1
"21,727",1
"346,376",1
"3,000,858",1
"1,120,000",1
"12,558",1
172,1
"12,197",1
"18,900",1
"347,327",1
"5,361,000",1
"1,487,933,000",1
"1,256,734",1
"2,808,000",1
"1,398,159",1
"752,154",1
"4,647",1
16.2,1
212,1
3.32,1
"26,571",1
"8,106,000",1
"28,190",1
"44,284",1
"94,000",1
"60,484",1
"66,274,000",1
"396,458,000",1
"663,000",1
"3,544",1
"2,840,000",1
"3,785",1
"121,888",1
"415,125,000",1
3.04,1
"1,735,823",1
"5,996",1
"3,343,506",1
"1,631",1
640,1
"1,090,000",1
"1,748",1
"343,650,000",1
"518,493",1
"1,731,250,000",1
"265,501",1
"18,031",1
"50,095",1
"10,550,000",1
"10,377,938",1
"3,454,160",1
"103,967",1
"392,286",1
"1,602",1
646,1
"4,226,000",1
"51,932,000",1
"70,557",1
"16,414",1
"53,374",1
"59,520,000",1
"19,275",1
"22,437",1
"5,429,000",1
"401,361",1
"6,145,000",1
"414,375,000",1
"4,031",1
"5,405,000",1
"7,213,000",1
"1,878",1
"64,975,000",1
"27,836",1
49.4,1
"22,325",1
"1,616,000",1
"21,250,000",1
"42,441",1
"46,317",1
"231,352",1
"18,600",1
"1,690,000",1
"13,535,000",1
"1,457,000",1
"746,622",1
"1,010",1
"1,517,843",1
"9,106,000",1
"10,151,000",1
"3,627",1
"1,903,650,000",1
"6,870,000",1
"57,218",1
"9,775,000",1
"8,205",1
"2,064,601",1
"23,300",1
"37,191,000",1
"2,053",1
"2,293,000",1
"38,683",1
"59,850,000",1
"1,500,000",1
"6,381,676,000",1
"7,094",1
"50,630",1
"592,738,000",1
"4,195,250,000",1
"2,090,088,000",1
"671,176",1
"426,591",1
"430,083",1
"54,714",1
"1,575",1
3.34,1
"771,390",1
"41,635",1
"54,876",1
"6,960,000",1
416,1
"117,150",1
"1,456",1
"8,270,000",1
"29,750",1
"25,810",1
"9,935",1
"2,556",1
"5,460,000",1
"7,950,000",1
"315,000",1
37.2,1
"1,085,387",1
"269,000",1
"3,600",1
"754,695,000",1
"453,217",1
"442,449",1
"8,467",1
"47,560,000",1
"71,107",1
"8,050,000",1
"484,426",1
"5,216",1
"99,633",1
"2,355,535",1
"21,097",1
"87,804",1
"10,077,000",1
"5,255",1
"60,134",1
"241,818",1
710,1
"525,000,000",1
"53,000",1
"885,703",1
"1,915,200,000",1
"33,124",1
"306,600,000",1
"136,000",1
"111,000",1
"1,503,020",1
"217,598",1
"7,263,000",1
"384,158",1
"80,718",1
"50,481",1
"17,678",1
"947,955",1
"49,067",1
"2,704,000",1
"15,217",1
283,1
"25,190",1
"314,395",1
"37,042",1
"362,582",1
"1,108,131",1
"1,663,700,000",1
"593,286",1
"18,803",1
"352,999,750",1
"423,000",1
"51,433",1
"17,172",1
"42,206",1
"1,108,435",1
"85,951,000",1
"2,252,249",1
"80,286",1
"2,864,736,000",1
"1,019,000",1
"97,042,000",1
"1,771",1
"2,244,651",1
"24,544,000",1
"2,167,039,000",1
"6,271",1
"2,050",1
"1,224,000",1
"1,359,000",1
"284,348",1
"73,329",1
"3,056",1
"6,702",1
"3,563,000",1
"543,660,000",1
"3,233,000",1
"464,535,000",1
"296,199",1
"190,491",1
"21,700",1
"53,583",1
530,1
"865,000",1
"2,369",1
"24,224",1
"49,003",1
"5,480",1
"243,823",1
"211,441",1
"3,151,000",1
"31,032",1
960,1
"830,440",1
"142,253,000",1
"18,959",1
455,1
"6,217,000",1
"7,234",1
"76,491",1
"155,000",1
"5,575",1
"5,760,000",1
"7,650,000",1
3.49,1
"1,023,840,000",1
"4,539",1
"3,054",1
"11,037",1
"1,879,950,000",1
"88,119",1
"1,524,366",1
795,1
"72,570",1
"24,708",1
"266,053,000",1
"38,506",1
"1,407",1
"8,770,000",1
"5,712,000",1
13.7,1
"105,286",1
"14,444",1
"59,637",1
"202,172",1
"5,450,000",1
"23,618",1
"4,619",1
"420,875,000",1
321,1
435,1
"136,029",1
"1,445,500,000",1
"2,278",1
"5,758",1
"16,717",1
"48,584",1
"49,970",1
"4,813",1
"2,535,000",1
1.93,1
"3,390",1
"4,082",1
265,1
"6,982",1
"28,961",1
"8,071",1
"12,125,000",1
"444,225,000",1
"209,998",1
"1,798",1
"247,968",1
"28,115",1
"6,318,196",1
"2,346,000",1
"134,777",1
"6,200",1
"2,284,354",1
"1,197",1
"17,948",1
"282,000",1
"12,171,000",1
"1,346",1
"3,312,000",1
288,1
"386,970,000",1
231.3,1
"15,123",1
"23,662,000",1
"59,625",1
"10,815",1
1.5,1
"13,034,000",1
"171,608",1
568,1
"4,550",1
"42,926",1
"621,934",1
"26,791",1
"56,510",1
196,1
"425,000",1
"6,912",1
"27,250",1
"1,008",1
803,1
"53,417",1
515,1
621,1
"95,444",1
"2,558",1
"34,987",1
"2,488,148",1
"14,666,726",1
"173,770",1
"3,502,000",1
"7,401",1
"2,242,922",1
"1,891",1
"3,586,000",1
"1,842,000",1
"5,240,668",1
"57,760,000",1
464,1
"64,479,000",1
"269,565",1
"322,920,000",1
"86,934",1
"986,332,000",1
"1,352",1
"8,468",1
"2,104,100",1
"448,760,000",1
"244,913",1
"457,000",1
"1,409,648,000",1
"55,024",1
"145,901",1
"2,070,000",1
"1,999",1
"78,763,000",1
"522,183",1
"5,004",1
"164,138",1
"236,423",1
"7,243",1
"8,855,861,000",1
"15,335",1
"223,208",1
"1,912,680,000",1
"3,209",1
"130,869",1
"1,931,550,000",1
"607,884",1
"422,223",1
"288,229,000",1
"740,399",1
"8,224,000",1
"1,807,000",1
"1,340",1
"332,095",1
"2,933,005",1
"203,501",1
"337,815",1
937,1
"26,167",1
"95,859",1
"5,490,000",1
"4,057,679",1
"6,605,528",1
"2,317,000",1
0.2,1
262,1
"46,802,000",1
"23,709",1
"7,040",1
"13,583",1
7.6,1
"107,818",1
6.07,1
"39,703",1
"2,519,000",1
859,1
