type,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
prcp,AZ,2021,32.58,4.16,,,,,,,,,,
prcp,CA,1990,101.66,65.31,32.97,17.98,67.02,4.00,3.82,7.10,7.51,10.26,16.88,23.31
prcp,CA,1991,21.17,62.00,230.23,16.17,17.84,9.92,4.30,5.56,3.27,32.45,24.98,62.12
prcp,CA,1992,53.00,165.76,93.83,22.50,3.22,17.80,6.28,2.89,1.17,53.06,12.56,166.04
prcp,CA,1993,246.36,150.13,73.45,33.06,37.11,24.78,0.34,3.29,0.40,19.56,42.26,68.45
prcp,CA,1994,50.70,103.56,27.01,32.29,26.39,1.59,0.57,0.83,7.92,15.75,106.65,74.85
prcp,CA,1995,339.37,29.40,246.24,63.74,39.58,25.25,3.59,0.38,1.12,0.88,8.73,154.70
prcp,CA,1996,141.61,164.08,62.54,55.85,48.22,3.45,2.77,0.86,6.65,44.09,83.61,241.18
prcp,CA,1997,202.67,15.33,21.60,18.59,8.72,14.66,2.83,9.09,16.11,28.65,115.41,78.47
prcp,CA,1998,197.74,314.65,99.33,55.64,78.75,14.88,0.94,1.10,12.40,20.75,119.81,39.06
prcp,CA,1999,92.57,146.40,68.85,43.29,6.55,5.80,2.64,3.84,2.99,17.85,62.42,16.78
prcp,CA,2000,139.77,199.10,51.95,47.05,24.36,6.49,1.36,1.57,8.05,56.35,21.13,20.00
prcp,CA,2001,96.35,120.87,52.55,40.22,2.94,8.09,2.43,0.80,6.51,15.59,116.97,151.54
prcp,CA,2002,61.13,39.68,52.72,18.65,16.78,1.67,0.63,0.25,2.21,0.68,85.21,236.36
prcp,CA,2003,55.99,68.80,72.63,96.16,24.48,1.12,2.35,10.29,2.08,2.75,59.07,156.06
prcp,CA,2004,61.08,158.27,25.45,16.36,8.86,1.19,0.88,1.91,3.43,105.34,41.36,156.48
prcp,CA,2005,147.97,101.76,91.15,43.70,60.61,20.22,1.42,1.83,3.91,21.34,56.91,222.01
prcp,CA,2006,122.87,73.54,147.91,110.18,17.28,3.07,2.76,0.73,0.91,7.64,54.91,84.69
prcp,CA,2007,20.65,114.85,17.44,34.05,9.09,2.16,3.55,0.99,7.41,41.58,17.96,86.47
prcp,CA,2008,188.23,65.73,15.56,7.11,10.55,0.51,0.37,1.57,0.51,16.53,59.60,71.09
prcp,CA,2009,25.56,125.50,56.97,11.95,33.99,11.13,0.68,1.39,2.40,52.89,23.73,78.42
prcp,CA,2010,159.35,90.05,55.66,82.69,24.92,6.27,0.88,0.90,3.06,68.75,67.48,200.31
