Program,Year,Commodity,Data Item,Domain,Domain Category,Value
CENSUS,2002,HAY,"HAY, WILD, IRRIGATED, PART OF CROP - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,8
CENSUS,2002,HAY,"HAY, WILD, IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,4.4
CENSUS,2002,HAY,"HAY, WILD, IRRIGATED, PART OF CROP, IRRIGATED PORTION - ACRES HARVESTED",TOTAL,NOT SPECIFIED,240
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","98,474"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","76,614"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"71,485"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"1,455,725"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"160,502"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)", (D)
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"510,338"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"668,586"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)", (D)
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"895,059"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"282,556"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,142,725"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",70
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)",62
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"8,204"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),"16,792"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"10,087"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"8,588"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)",6
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"14,712"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),"28,053"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"2,047"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)",2
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"13,341"
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 OR MORE ACRES),528
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),458
CENSUS,2002,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,"57,507"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","193,141"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","155,160"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"135,248"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"2,912,555"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"295,078"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)", (D)
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"959,186"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"1,321,661"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)", (D)
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"1,717,198"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"566,981"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",TOTAL,NOT SPECIFIED,"8,101,048"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)", (D)
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)", (D)
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES), (D)
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"4,075"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),296
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)", (D)
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),577
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),457
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"1,662"
