Program,Year,Commodity,Data Item,Domain,Domain Category,Value
CENSUS,2009,BAREROOT HERBACEOUS PERENNIALS,"BAREROOT HERBACEOUS PERENNIALS, RETAIL - SALES, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,BAREROOT HERBACEOUS PERENNIALS,"BAREROOT HERBACEOUS PERENNIALS, WHOLESALE - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,2
CENSUS,2009,BAREROOT HERBACEOUS PERENNIALS,"BAREROOT HERBACEOUS PERENNIALS, WHOLESALE - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,BAREROOT HERBACEOUS PERENNIALS,"BAREROOT HERBACEOUS PERENNIALS, WHOLESALE - SALES, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED, (D)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,375
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"60,334,136"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLATS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,332
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"23,102,616"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLATS - SALES, MEASURED IN FLATS",TOTAL,NOT SPECIFIED,"1,820,061"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,360
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"52,444,162"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,89
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"94,547"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, FLATS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,84
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, FLATS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"74,448"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, FLATS - SALES, MEASURED IN FLATS",TOTAL,NOT SPECIFIED,"4,673"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, HANGING BASKETS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,4
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, HANGING BASKETS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"8,002"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, HANGING BASKETS - SALES, MEASURED IN BASKETS",TOTAL,NOT SPECIFIED, (Z)
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, POTS - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,18
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, POTS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"12,097"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, POTS - SALES, MEASURED IN POTS",TOTAL,NOT SPECIFIED,"3,571"
CENSUS,2009,"BEDDING PLANTS, ANNUAL","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, AGERATUM, POTS, GE 5 INCHES - OPERATIONS WITH SALES",TOTAL,NOT SPECIFIED,3
